updated_at,game,kickoff_utc,market_ticker,player_name,player_id,threshold,yes_bid,yes_ask,no_bid,no_ask,projection,fair_yes,fair_no,yes_edge,no_edge,minutes_to_kickoff,entry_price,edge_required,size_units,market_qc_pass,model_available,action,max_contracts_at_1_unit
2026-09-24T15:25:01.104499+00:00,LAR@DEN,2026-09-28T00:20:00+00:00,KXNFLRECYDS-26SEP27LARDEN-DENJWADDLE17-80,Jaylen Waddle: 80+ receiving yards,00-0036613,80.0,0.26,0.29,0.71,0.74,57.66975733764545,0.125,0.875,-0.16499999999999998,0.135,4852.511232566667,0.74,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-40,George Pickens: 40+ receiving yards,00-0037247,40.0,0.7,0.74,0.26,0.3,50.2109966436286,0.5654101995565411,0.4345898004434588,-0.17458980044345884,0.1345898004434588,4617.511232566667,0.3,0.04,0.5,True,True,BET_NOW_PAPER,3
2026-09-24T15:25:01.104499+00:00,CIN@PIT,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-60,Ja'Marr Chase: 60+ receiving yards,00-0036900,60.0,0.64,0.68,0.3199999999999999,0.36,67.35238704863403,0.5065123010130245,0.4934876989869755,-0.17348769898697558,0.1334876989869755,4412.511232566667,0.36,0.04,0.5,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-40,Matthew Golden: 40+ receiving yards,00-0040667,40.0,0.64,0.66,0.3399999999999999,0.36,46.30049393431656,0.5065123010130245,0.4934876989869755,-0.15348769898697556,0.1334876989869755,527.5112325666666,0.36,0.04,0.5,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-110,Christian Watson: 110+ receiving yards,00-0038124,110.0,0.17,0.19,0.81,0.83,62.8475438262419,0.0388931591083781,0.961106840891622,-0.1511068408916219,0.13110684089162206,527.5112325666666,0.83,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-80,Garrett Wilson: 80+ receiving yards,00-0037740,80.0,0.33,0.35,0.65,0.6699999999999999,63.80211333588932,0.2,0.8,-0.14999999999999997,0.13000000000000012,4412.511232566667,0.6699999999999999,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-90,Ladd McConkey: 90+ receiving yards,00-0039915,90.0,0.18,0.21,0.79,0.8200000000000001,45.27196342640875,0.0533141210374639,0.946685878962536,-0.1566858789625361,0.1266858789625359,4412.511232566667,0.8200000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-60,Christian Watson: 60+ receiving yards,00-0038124,60.0,0.59,0.6,0.4,0.41,62.8475438262419,0.4647377938517179,0.5352622061482821,-0.1352622061482821,0.12526220614828215,527.5112325666666,0.41,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,SEA@WAS,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-110,Jaxon Smith-Njigba: 110+ receiving yards,00-0038543,110.0,0.29,0.35,0.65,0.71,91.10841568823064,0.1647597254004576,0.8352402745995424,-0.18524027459954237,0.12524027459954246,4412.511232566667,0.71,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ARI@SF,2026-09-27T20:05:00+00:00,KXNFLRECYDS-26SEP27ARISF-ARITMCBRIDE85-90,Trey McBride: 90+ receiving yards,00-0037744,90.0,0.25,0.3,0.7,0.75,67.22462489152193,0.125,0.875,-0.175,0.125,4597.511232566667,0.75,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-110,Drake London: 110+ receiving yards,00-0037238,110.0,0.15,0.16,0.84,0.85,51.240547486682765,0.0261011419249592,0.9738988580750408,-0.13389885807504082,0.12389885807504086,527.5112325666666,0.85,0.02,1.0,True,True,BET_NOW_PAPER,1
